start,datetime,start,end,price,open,high,low,close,volume,每股盈餘_TTM,本益比平均數,本益比最大值,本益比最小值,淨值比平均數,淨值比最大值,淨值比最小值
2004-02-01,2004-02-01,2004-02-01,2004-02-29,63.07692307692308,64.5,65.0,61.5,63.5,528048603,,,,,,,
2004-03-01,2004-03-01,2004-03-01,2004-03-31,62.108695652173914,63.5,68.5,55.0,60.0,1633406925,,,,,,,
2004-04-01,2004-04-01,2004-04-01,2004-04-30,61.22727272727273,59.5,64.5,56.5,57.5,1117364050,,,,,,,
2004-05-01,2004-05-01,2004-05-01,2004-05-31,55.76190476190476,57.5,59.5,51.5,56.0,1031414005,,,,,,,
2004-06-01,2004-06-01,2004-06-01,2004-06-30,48.88095238095238,56.0,57.0,42.3,48.4,1099344471,,,,,,,
2004-07-01,2004-07-01,2004-07-01,2004-07-31,43.690909090909095,48.5,48.8,40.7,42.9,1097328048,,,,,,,
2004-08-01,2004-08-01,2004-08-01,2004-08-31,45.075,42.9,48.8,42.4,47.0,950736353,,,,,,,
2004-09-01,2004-09-01,2004-09-01,2004-09-30,44.74285714285715,47.0,47.5,42.5,43.3,933429376,,,,,,,
2004-10-01,2004-10-01,2004-10-01,2004-10-31,43.355000000000004,43.9,45.5,41.3,43.8,875597648,,,,,,,
2004-11-01,2004-11-01,2004-11-01,2004-11-30,47.71818181818182,44.1,51.0,43.5,47.3,1543358708,,,,,,,
2004-12-01,2004-12-01,2004-12-01,2004-12-31,49.23478260869565,46.3,51.5,46.2,50.5,1057116715,,,,,,,
2005-01-01,2005-01-01,2005-01-01,2005-01-31,48.642105263157895,51.0,52.5,46.2,52.0,880196654,,,,,,,
2005-02-01,2005-02-01,2005-02-01,2005-02-28,53.92307692307692,52.5,55.5,52.0,55.0,872891109,,,,,,,
2005-03-01,2005-03-01,2005-03-01,2005-03-31,51.8695652173913,54.5,54.9,49.8,51.5,866674815,,,,,,,
2005-04-01,2005-04-01,2005-04-01,2005-04-30,51.375000000000014,51.5,53.0,49.1,51.9,750926086,,,,,,,
2005-05-01,2005-05-01,2005-05-01,2005-05-31,55.061904761904756,52.2,57.1,52.2,56.9,912074470,,,,,,,
2005-06-01,2005-06-01,2005-06-01,2005-06-30,56.51818181818182,56.3,58.5,53.5,55.1,1118357061,,,,,,,
2005-07-01,2005-07-01,2005-07-01,2005-07-31,55.51500000000001,55.1,57.8,52.8,53.2,991711812,,,,,,,
2005-08-01,2005-08-01,2005-08-01,2005-08-31,52.9090909090909,53.2,56.1,51.1,54.0,833929314,,,,,,,
2005-09-01,2005-09-01,2005-09-01,2005-09-30,52.476190476190474,53.0,54.1,50.5,53.3,799462036,,,,,,,
2005-10-01,2005-10-01,2005-10-01,2005-10-31,51.467499999999994,53.4,54.8,48.7,52.0,846788320,,,,,,,
2005-11-01,2005-11-01,2005-11-01,2005-11-30,56.56818181818182,52.5,60.2,51.8,59.5,1102921970,,,,,,,
2005-12-01,2005-12-01,2005-12-01,2005-12-31,62.14545454545455,59.5,64.3,59.3,62.5,2745937544,,,,,,,
2006-01-01,2006-01-01,2006-01-01,2006-01-31,63.84444444444445,61.8,68.4,60.0,63.5,878278492,,,,,,,
2006-02-01,2006-02-01,2006-02-01,2006-02-28,62.53529411764707,64.0,66.5,60.3,60.9,686529139,,,,,,,
