quarter,營業收入,營業成本,營業毛利,營業費用,推銷費用,管理費用,研究發展費用,營業利益,營業外收入及支出,稅前淨利,淨利,合併淨利,毛利率,所得稅費用,合併淨利率,母公司淨利,非母公司淨利,每股盈餘,現金及約當現金,應付帳款,應收帳款,存貨,流動資產,資產總計,合約負債,流動負債,負債總計,資本公積,法定盈餘公積,特別盈餘公積,保留盈餘,普通股股本,股本,普通股數,權益總計,負債及權益總計,現金CF,營業活動,折舊費用,攤銷費用,合約負債增減,融資活動,已付股利,投資活動,廠房及設備投資活動,淨現金流,淨值,現金股利,datetime,start,end,year,ns
2012Q1,105614831000.0,55210347000.0,50404484000.0,14915291000.0,1100435000.0,4657004000.0,9157852000.0,35117313000.0,555741000.0,35673054000.0,33382936000.0,31080988000.0,0.4772481622396385,2290118000.0,0.2942862068301752,33491634000.0,-108698000.0,1.29,143472277000.0,10530487000.0,45830288000.0,24840582000.0,224392169000.0,779550815000.0,0,122074950000.0,149622170000.0,55471662000.0,102399995000.0,6433874000.0,320464327000.0,259162226000.0,259162226000.0,25916222600.0,629928645000.0,,170819939000.0,56101634000.0,27477221000.0,528186000.0,0,20596856000.0,0.0,-47757582000.0,-48570613000.0,27347662000.0,24.30634489919839,-0.0,2012-01-01,2012-01-01,2012-03-31,2012,1325347200000000000
2012Q2,128186331000.0,65579011000.0,62607320000.0,15538069000.0,1104741000.0,4364938000.0,10068390000.0,46872088000.0,-915157000.0,45956931000.0,41799616000.0,44248125000.0,0.4884087056052801,4157315000.0,0.3451859855478663,41843339000.0,-43723000.0,1.61,178440559000.0,14126994000.0,60610432000.0,30780466000.0,284584019000.0,890590164000.0,0,218355100000.0,262652910000.0,55596476000.0,115820123000.0,7606224000.0,318050632000.0,259207094000.0,259207094000.0,25920709400.0,627937254000.0,,178440559000.0,68667099000.0,31900131000.0,560700000.0,0,-4508096000.0,0.0,-57279337000.0,-59467478000.0,7620620000.0,24.22531128719803,-0.0,2012-04-01,2012-04-01,2012-06-30,2012,1333209600000000000
2012Q3,141499253000.0,72344501000.0,69154752000.0,16370354000.0,1234982000.0,4478517000.0,10656855000.0,52797978000.0,964363000.0,53762341000.0,49422294000.0,47121878000.0,0.488728742617461,4340047000.0,0.333018563709308,49379633000.0,42661000.0,1.9,138738113000.0,13773108000.0,64386937000.0,33249045000.0,249575097000.0,885771436000.0,0,125952667000.0,210684119000.0,55630425000.0,115820123000.0,7606224000.0,367430265000.0,259220476000.0,259220476000.0,25922047600.0,675087317000.0,,138738113000.0,75395863000.0,34124335000.0,553718000.0,0,-39313949000.0,-77748668000.0,-74510237000.0,-78333589000.0,-39702446000.0,26.04297806319899,2.999325871155333,2012-07-01,2012-07-01,2012-09-30,2012,1341072000000000000
2012Q4,131444819000.0,69449239000.0,61995580000.0,15687161000.0,1055828000.0,4131235000.0,10500098000.0,46389489000.0,-105359000.0,46284130000.0,41518956000.0,47925443000.0,0.4716471936410061,4765174000.0,0.3646050362776185,41603680000.0,-84724000.0,1.6199999999999992,143410588000.0,14490429000.0,57777586000.0,37830498000.0,250325436000.0,961354508000.0,0,148473947000.0,238260602000.0,55675340000.0,115820123000.0,7606224000.0,408411468000.0,259244357000.0,259244357000.0,25924435700.0,723093906000.0,,143410588000.0,84798564000.0,35666827000.0,538171000.0,0,9636374000.0,0.0,-89770551000.0,-59765681000.0,4672475000.0,27.89236820302322,-0.0,2012-10-01,2012-10-01,2012-12-31,2012,1349020800000000000
2013Q1,132754996000.0,71988726000.0,60766270000.0,16376304000.0,1029799000.0,4695520000.0,10650985000.0,44428009000.0,1319905000.0,45747914000.0,39535543000.0,45443350000.0,0.4577324532479365,6212371000.0,0.342309904479979,39576876000.0,-41333000.0,1.53,186028798000.0,12462978000.0,65472529000.0,37833465000.0,297751192000.0,1061629726000.0,0,158206324000.0,292980641000.0,55762572000.0,115820123000.0,7606224000.0,447988344000.0,259282327000.0,259282327000.0,25928232700.0,768649085000.0,,186028798000.0,73569672000.0,35964677000.0,531513000.0,0,44939320000.0,0.0,-77032913000.0,-80418491000.0,42618210000.0,29.645255575016492,-0.0,2013-01-01,2013-01-01,2013-03-31,2013,1356969600000000000
2013Q2,155886320000.0,79467520000.0,76418800000.0,18792134000.0,1164693000.0,5685570000.0,11941871000.0,57629082000.0,2387597000.0,60016679000.0,51761503000.0,57411414000.0,0.4902213356502354,8255176000.0,0.3682902643413482,51807725000.0,-46222000.0,2.0,225832646000.0,14391539000.0,79742708000.0,38614928000.0,352462353000.0,1169885454000.0,0,243631467000.0,423649183000.0,55828587000.0,132436003000.0,2785741000.0,422022762000.0,259283058000.0,259283058000.0,25928305800.0,746236271000.0,,225832646000.0,75238656000.0,37554564000.0,540077000.0,0,41089778000.0,0.0,-76631485000.0,-78400393000.0,39803848000.0,28.780757090577048,-0.0,2013-04-01,2013-04-01,2013-06-30,2013,1364745600000000000
2013Q3,162577034000.0,83636464000.0,78940570000.0,19260232000.0,1164881000.0,4738276000.0,13357075000.0,59618054000.0,-268170000.0,59349884000.0,51934752000.0,57927783000.0,0.4855579417201079,7415132000.0,0.3563097540578825,51951943000.0,-17191000.0,2.0,216603697000.0,13478598000.0,78844389000.0,36916527000.0,338210837000.0,1177540215000.0,0,148284188000.0,373365454000.0,55841716000.0,132436003000.0,2785741000.0,473974705000.0,259283910000.0,259283910000.0,25928391000.0,804174761000.0,,216603697000.0,95802107000.0,39881540000.0,557892000.0,0,-51498796000.0,-77773307000.0,-52322295000.0,-54821117000.0,-9228949000.0,31.01522038139582,2.9995423549421174,2013-07-01,2013-07-01,2013-09-30,2013,1372608000000000000
2013Q4,145805847000.0,80965110000.0,64840737000.0,17134564000.0,1157152000.0,3809178000.0,12168234000.0,47754218000.0,2618427000.0,50372645000.0,44787139000.0,43588638000.0,0.4447060137444282,5585506000.0,0.298949863101169,44810246000.0,-23107000.0,1.7299999999999995,242695447000.0,14670260000.0,71649926000.0,37494893000.0,358486654000.0,1263054977000.0,0,189777934000.0,415279892000.0,55858626000.0,132436003000.0,2785741000.0,518193152000.0,259286171000.0,259286171000.0,25928617100.0,847775085000.0,,242695447000.0,102773102000.0,40579066000.0,572540000.0,0,-2424377000.0,0.0,-75067522000.0,-73954772000.0,26091750000.0,32.69650215938435,-0.0,2013-10-01,2013-10-01,2013-12-31,2013,1380556800000000000
2014Q1,148215172000.0,77839185000.0,70375987000.0,17876649000.0,1152780000.0,4655977000.0,12067892000.0,52517614000.0,779711000.0,53297325000.0,47841830000.0,50255975000.0,0.474823097057837,5455495000.0,0.3390744302479371,47866793000.0,-24963000.0,1.85,242695447000.0,14670260000.0,71649926000.0,37494893000.0,358486654000.0,1262965353000.0,0,189777934000.0,414491629000.0,55858626000.0,132436003000.0,2785741000.0,518891912000.0,259286171000.0,259286171000.0,25928617100.0,848473724000.0,1262965353000.0,231697295000.0,94860941000.0,40985942000.0,636435000.0,0,7950224000.0,0.0,-115859592000.0,-114905317000.0,-10998152000.0,32.723446866744005,-0.0,2014-01-01,2014-01-01,2014-03-31,2014,1388505600000000000
2014Q2,183020484000.0,91826284000.0,91194200000.0,20253408000.0,1234897000.0,5408174000.0,13610337000.0,70709172000.0,3384400000.0,74093572000.0,59655879000.0,56557228000.0,0.4982731878252491,14437693000.0,0.3090213005884084,59698303000.0,-42424000.0,2.3,255053573000.0,20015515000.0,86424428000.0,50954265000.0,459199555000.0,1344956710000.0,0,246635077000.0,467305703000.0,56026837000.0,151250682000.0,0.0,548671157000.0,259293750000.0,259293750000.0,25929375000.0,877651007000.0,1344956710000.0,255053573000.0,81748863000.0,45352501000.0,626613000.0,0,10346753000.0,0.0,-66494559000.0,-73328005000.0,23356278000.0,33.84775016752236,-0.0,2014-04-01,2014-04-01,2014-06-30,2014,1396281600000000000
